,appliance,footprint
10,Electric space heater,"[  2.    0.    0.   -4.    2.    0.    2.   -1.   -3.    3.   13.   -4.
  -1.    3.    1.   -4.    2.   -1.   -1.   -1.    5.   -2.    1.   -3.
   2.   -4.    0.    3.   -1.   -2.    1.    2.    0.   -2.    9.    1.
   0.    1.   -2.   -1.    0.    1.    0.    0.5   0.   -0.5   0.    3.
  -2.    0.   -1.    6.    1.   -3.    1.    2.   -1.    0.    1.   -3.
   1.    0.    0.    1.   -4.    5.   -4.   13.    2.   -4.    3.   -2.
   0.   -1.    0.    1.    0.    3.   -2.    2.    1.   -1.   -4.    0.
   0.    1.    1.    0.    2.   -2.    3.    2.   -1.    2.   -5.    5.
  -5.    3.    1.    1.   -3.   -3.    3.    4.   -4.    4.   -3.    2.
   2.    2.   -2.   -1.    0.   -1.    4.   -4.    2.   -1.    3.   -4.
  -1.   -3.    2.   -2.    2.    2.   -3.    0.    3.    1.    0.   -3.
  -1.    7.    0.   -5.   -2.    5.    1.   -4.    4.   -3.   -1.    0.
   4.    0.   -4.    2.   -5.    1.    1.    0.    5.   -8.    5.  -12.
   1.    0.   -1.    1.    0.    4.   -2.   -4.    1.    1.    0.    0.
   1.    1.   -1.    2.   -3.   -3.   -2.    0.    3.    0.   -3.   -2.
   1.    2.    0.   -3.    1.    1.   -2. ]"
11,Electric space heater,"[-3.  0. -1.  1. -1.  2.  0. -1. -2. -3.  1.  3. -5.  2. -2. -2.  3.  0.
  2. -2.  0. -1.  0. -3.  0. -2.  3.  0. -1.  0.  2.  0.  0. -1.  4. -3.
  0.  2.  0. -4.  4. -1. -1.  2. -4. 13. -5.  2.  0.  0.  2. -2. -2. -1.
  1.  2.  1.  0. -1.  1.  1.  0. -1.  4. -4.  1.]"
12,Electric space heater,"[-1. -5.  3. -1.  1.  2. -6.  1. -6.  3.  4. -4.  2.  1.  1.  1. -1.  3.
 -3.  2. -2.  1. -1.  1.  1. -1.  0.  0. -1.  2. -1. -1.  1.  0.  1.  1.
 -2.  2. -8.  1. -1.  0. -3.  3. -1. -2.  2. -1.  1.  1. -1.  1. -1.  1.
  1. -2.  3. -2. -1.  0.  0. -1.  1.  1. -1.  2. -5. -1.  4. -1. -1.  0.
  0.  0. -1. -4.  4. -4.  4.  1. -4.  3.  3. -1.  9.  1. -2.  1. -1. -2.
  4. -1. -3.  7. -5. -2. 11. -1.  1.  0.  2. -4.  4. -1. -1.  0.  0.  0.
  3.  0. -6.  2.  0.  1. -1. -1.  2.  2. -2.  1. -1. -3.  5. -2. -1.  2.
 -1.  3. -4.  0. -1.  0.  0. -2.  3.  1. -2. -2.  2.  1. -7.  5. -1. -3.
  4.  0. -1. -2.  4.  0. -3.  1.  0. -4.  2.  1.  3.  0. -3. -1.  6. -2.]"
13,Electric space heater,[  3.   7. -29.  40. -22.  19.   1.]
14,Electric space heater,[-31.  23.  -9. -13.  20. -14.  -3.   2.   3. -12.  14.  15.]
15,Electric space heater,[  9.  -4.  29.   0. -25.  13. -11.   9.  12.]
16,Electric space heater,[-18.  -5.  -7.  18.   1. -19.  19.]
17,Electric space heater,[ 12.   9.  -1. -33.  14.  14.  -2.]
18,Electric space heater,[ 29. -14.  17.   3.]
19,Electric space heater,"[-2.  3.  4. -4. -1.  0.  5. -3.  3. -2.  0.  0.  2.  0. -2.  3. -5.  2.
 -2.  1.  2. -2.  3. -5.  0. -1.  2. -3.  2.  0.  2.  0.  0. -2.  0.  3.
  0. -3.  3.  0. -2.  1.  1.  5. -4.  1.  1. -2.  3. -2.  1. -2.  2. -1.
 -1. -1.  0.  3.  1. -2. -2.  1.  1.  0. -1.  5. -6.  0.  3.  0.  0. -3.
  2.  1.  0.  2. -2. -1.  1.  1.  1. -2.  2.  1.  1. -5.  0. -2.  9. -2.
  0. -4.  0. -1.  4. -5.  0.  3.  0.  0. -5.  5.]"
20,Electric space heater,"[ 2. -3.  1.  2. -1.  0.  0. -1.  1. -3.  0.  3. -1.  0.  1. -1. -1. -2.
  2.  2. -3.  3.  0.  0.  2. -3. -2. 10.  0. -5. -2.  1. -3.  2. -5.  5.
 -3.  3.  1. -4. -1.  0.  0.  3.  0.  0. -1.  0.  1. -1.  5. -6.  3. -2.
  4. -2.  1. -2.  1.  0. -1.  0.  1. -1. -2.  2.  3.  0. -2. -1.  1. -1.
 -2.  6. -5.  0.  1.  0.  2. -4.  2. -2.  5. -4.  5. -4. -3.  7. -2. -5.
  8. -1. -4.  0.  0.  5. -5.  2. -2.  1.  1.  0. -5.  3.  2. -1. -3.  3.
 -4. -1.  1.  3. -4.  3.  2. -2.  0.  1.  0. -2.  1. -2.  2. -1.  2. -1.
  0. -2.  1.  5. -2. -4.  2.  1.  1. -2.  4. -6.  4.  0.  2. -3.  1. -1.
  1.  1. -2. -2. -1.  4. -5.  4. -2.  1.  8. -2.  1. -2. -4. -1.  6. -3.
 -4.  3. -1.  1. -2.  1.  0.  1.  0.  2.  2.  0. -1. -1. -3.  4. -2.  1.
  0.  2.  0. -4.  3. -3.  2.  4. -3. -1. -1.  2. -2.  0.  5. -3.  2. -1.
  3. -4.  2.  2. -5.  3. -1.  1. -5.  6. -5.  2.  0.  0.  0.  0. -1.  4.
 -4.  2.  5. -3. -3. -1.  4. -1. -4.  2.  2. -5.  4. -1.  1. -3.  1.  2.
 -2.  0.  4. -2. -4.  4.  2. -1.  1.  2. -2.  0. -3.  3.  2. -4.  1.  2.
 -2.  1. -4. -1.  1.  2.  2. -2. -2.  4. -2.  2. -4. -2.  6. -1. -3.  0.
  3.  6.]"
21,Electric space heater,"[ 0.  0. -3.  3. -3.  4. -2.  0.  1.  1.  0.  0.  1. -2.  3. -7.  4. -2.
  1.  1. -4.  3.  0.  0.  3. -1. -3. -1.  2. -1. -3.  1.  1.  1.  0.  2.
  0. -2. -1.  0.  2.  1. -2. -1.  0.  6. -2. -1. -2.  2.  4. -4.  1.  2.
  1. -5.  1.  3. -1. -2.  3.  1. -2.  2. -4.  0.  2. -2. -2.  4.  0.  0.
  1. -3.  1.  3. -4.  2.  1. -1. -2.  3.  4. -7.  2.  5. -3.  3. -4. -1.
 -1.  2. -2.  2.  0.  1. -2.  3.  0.  0.  0.  0.  0.  0. -1.  2. -1.  2.
 -3.  3. -3.  4.  1. -2.  1.  1. -3.  3. -2. -2.  1. -2.  2.  1. -1.  0.
  0.  0.  0.  2.  1. -4.  0. -1.  0.  2. -2.  0.  3.  2. -4. -2.  5. -3.
 -3.  3.  2. -2. -1.  2.  1. -2.  2.  0.  1. -1.  3. -3.  2. -2.  0. -2.
  0.  4. -5.  4. -3.  2.  3. -2. -2.  3. -2. -1.  1.  3. -1. -4. -3.  1.
  3.  0. -4.  2. -1.  2.  2.  0.  0.  0.  2. -2. -1.  1. -1.  1.  0.  0.
  1.  1. -2.  0.  1.  0.  1. -2.  2. -2.  3.  0. -1. -1.  0.  0. -5.  4.
 -2. -1.  2.  2. -6.  3.  0.  1. -1.  0. -1.  0.  3. -3.  5. -1. -5.  4.
  1. -1.  0.  0.  1. -1. -4.  7. -2.  0. -2. -1.  4. -1.  2. -3.  0.  1.
 -2.  5. -3. -1. -2. -1.  4.  2. -2. -2.  5. -4.  1.  2.  0. -4.  1.  3.
  0. -1.  2.  0. -5.  5. -2.  3. -2.  0.  1.  0. -1. -2.  4.  1. -3.  1.
  0. -1. -3.  0.  3. -2.  2.  3. -1. -4. -1.  3.  2. -2.  1.  2. -4.  1.
  3.  0. -2.  1.  0. -5.  3.  2.  0. -3. -1. -1.  2.  0. -2.  0.  2.  0.
 -2.  2.  3. -3. -2.  6. -4.  0.  2.  1. -4.  3. -1. -1. -3.  4. -3.  3.
 -4.  2.  1. -1. -2.  1. -2.  3.  0. -1.  4.  0.  0. -3.  3. -2.  2. -2.
  2. -2. -2.  3. -2.  0. -2.  2. -1.  3. -3.  3.  0. -2.  0.  0.  0. -2.
  4. -1.  1.  1. -1. -1.  0.  2. -1. -2.  1. -4.  1.  1.  0.  3. -3.  0.
  4. -2.  0.  1. -3.  1.  1.  1. -3.  5. -5.  3.  2.  0. -4.  0.  4. -1.
 -1.  0.  1.  1.  0. -2. -1.  1.  3. -1. -1. -1.  2.  1. -6.  5.  0. -1.
  1.  0.  0.  1. -1.  3. -3. -3.  3.  0.  0.  1. -3.  3.  0. -2.  1.  0.
  1.  2. -4.  0. -1.  3. -2.  2. -3.  0. -2.  5. -3.  3. -3.  1. -1. -2.
  3. -3.  2. -3.  2.  1.  2.  0. -3.  0. -1.  2. -4.  1.  2.  1. -2.  2.
  0. -3.  2. -2.  6. -6.  5. -3.  3.  1.  0. -3.  0. -1.  1.  1.  1. -2.
 -2.  4.  1. -3.  5. -3.  0.  1. -1. -2.  0.  2.  0.  1. -2. -1.  0.  0.
  3. -3. -2.  0.  2. -2.  3. -3. -1.  4. -1.  3. -1. -6.  4.  2. -3. -2.
  2.  1.  1.  0.  0.  2.  0. -4.  3. -1.  5. -2. -2.  0.  1. -2. -1.  3.
 -2.  0. -2.  1.  0. -1.  3. -2.  0.  1. -3.  2. -1.  1.  0. -2.  4. -3.
  1.  0. -1.  3.  1. -3.  2. -4.  4. -2. -1.  1.  1. -2.  0. -3.  4. -2.
  4.  1. -7.  2.  1.  0.  3. -6.  3.  0.  1.  1. -2.  5. -3. -1.  2. -4.
  2.  0.]"
22,Electric space heater,"[ 4. -5.  2.  3. -3.  1.  4. -4.  1.  2. -1. -2. -1.  4. -3.  2.  1. -3.
  0.  3. -2.  1. -1.  0.  2. -4.  1.  5. -1.  2. -3. -2.  5. -2.  3. -2.
 -4.  3. -1.  0.  2. -2. -2.  2.  2.  1. -1.  0. -5.  4. -1. -1.  3.  0.
  1. -2.  0. -2.  3. -3.  5. -5.  2. -1.  1.  0. -2. -1.  6.  0.  0. -3.
  3. -5.  1. -1.  1.  3. -4.  6. -6.  2.  0. -2.  5. -2. -1.  1.  2.  0.
 -4.  2. -1.  0.  0.  0.  0.  0. -1.  1. -4.  2.  3. -4.  3. -2.  5. -3.
  0.  0.  0. -1.  4. -2. -3.  3.  1. -1.  1. -3.  2.  0.  2. -4.  2.  2.
 -1.  1. -3.  0.  0. -3.  1.  0.  2.  0.  1.  2.  1. -4.  2. -2.  2.  0.
  3. -6.  7. -1. -3.  1. -1. -2.  2.  1.  1. -1.  0.  0.  0.  0. -4.  1.
  5. -1. -1.  2. -2.  2.  0. -1.  2. -2. -4.  1. -3.  3. -2.  1.  3. -3.
 -2.  3. -1.  0.  1.  0.  0.  0. -2.  1.]"
23,Electric space heater,"[ 1. -2.  4. -4.  1. -2.  2. -1.  3. -2.  1. -3. -1.  2. -2.  4. -1.  0.
  3. -2.  2. -1.  0. -2. -1.  5. -5.  2.  3.  0. -2.  2. -2.  0.  0.  0.
 -3.  0.  1.  2. -4.  3.  1.  0.  0.  0.  0.  2. -3. -1.  3. -3. -1.  3.
 -1.  1.  0. -3.  1.  4. -3.  0. -1.  0.  0.  0.  2. -2.  2.  2. -4. -1.
  0.  1. -2.  2. -1.  1.  1.  3. -7.  1.  1.  1.  1.  1. -2.  2. -1.  0.
  1.  1.  0. -5.  2.  0.  2. -2.  4. -3.  4. -1. -1. -3.  4. -5.  3. -4.
  4. -4.  0.  1. -2.  0.  6.  0. -1.  0. -3.  4. -5.  5.  0. -4.  0.  3.
 -3.  0.  0. -2.  1.  0.  3. -2.  1. -1.  1. -1.  1.  0. -4.  4.  2.  2.
 -2.  1.  0.  1. -4.  0.  1.  1.  0. -1. -1.  1.  2. -2.  0. -2.  2.  0.
 -3.  4. -1.  0. -3.  3. -2. -1.  2. -1.  0.  1.  1. -2.  2.  1. -4.  1.
  2.  0.]"
24,Electric space heater,"[ 5. -3. -3.  3. -2.  2.  0.  3.  0. -5.  2.  0.  0.  1. -3.  5.  1. -6.
  4.  0. -2.  3. -1. -2.  1. -2. -2.  4. -4.  1.  1. -1.  0.  1. -2.  4.
 -1.  2. -5.  0.  4. -5.  1. -2.  5. -5.  0.  4. -5.  2. -3.  3.  1.  1.
 -3. -1. -2. -1.  2.  0.  0.  1.  2.  0.  0.  1. -4.  0.  3. -6.  4. -1.
  4. -2.  2. -3.  3. -2.  0.  0.  1.  0. -1.  2. -4.  2. -2.  1. -3.  3.
  0.  0. -2.  2.  0.  0.  0.  1. -1. -2.  5. -1.  0.  0.  0.  0. -1.  0.
  0. -1. -1.  0. -1.  2. -1. -1.  1. -2.  2. 10. -1.  1.  0. -3.  5. -1.
  1. -1. -2.  1. -3.  0.  3.  1. -1.  0. -1. -2.  3. -1.  1.  0. -3.  1.
  2.  3. -1. -3. -2.  2.  3. -2.  0.  0. -2.  3.  0. -2.  3. -4.  3.  1.
 -5.  4.]"
25,Electric space heater,"[ 1. -3.  0.  2.  0.  2. -5.  1.  4. -1. -4. -1.  5. -3.  1.  3. -1.  1.
 -3.  0.  4. -3. -1.  2.  0.  0. 10.  0.  1. -3.  0.  4. -1. -1.  1.  8.
  3.  4. -3. -3.  5. -1.  2. -4. -1.  0.  1. -2.  2. -3.  3.  4.  0.  2.
 -1. -3.  1. -4.  1. -2.  0.  2.  1.  1. -1.  2. -2.  1.  1.  1. -2.  1.
 -3. -1.  2. -2.  0. -2.  2.  1. -3.  4.  1. -3.  0.  3. -3.  1.  1. -3.
 -1.  1.  2.  2. -2.  0.  1. -5.  2.  0.  2.  1.  1. -2. -1. -1. -4.  3.
  2. -2. -2.  2. -1.  0.  2. -1. -2. -1.  3. -4.  1.  2. -3.  1.  3. -3.
 -1. -1. -1. -2.  1.  1.  2.  1. -1. -1.  1. -3.  2. -2. -3.  0.  2.  4.
  0. -3.  2. -5.  5. -4.  2. -1.  1.  0.  1. -4. -2.  4. -2. -1.  3.  1.
  0.  0.  0. -1.  2. -3. -1.  0.  1.  2. -2. -3.  0.  3.  0.  0.  0. -3.
  3.  0.  4. -2. -5.  1.  5. -2. -3.  3.  0.  1. -1. -4.  2.  0.  2.  0.
 -1. -1.  3. -7.  2.  1.  1. -5.  1.  4. -3.  2. -5.  2.  0.  0.  2. -3.
 -2.  3. -2.  3. -1. -1.  0.  0. -2.  3. -3.  3. -1.  3. -1. -2.  1. -5.
  3. -2.  2. -1. -2.  4. -1. -1. -1. -1.  3. -2.  0.  1.]"
26,Electric space heater,"[-6.  1. -1.  0.  2. -3.  0.  0. -2.  2. -3.  0.  3.  0. -2.  2.  1. -3.
  0.  2.  2. -3. -4.  3.  2. -2. -2. 17. -1.  4. -3.  1. -2. -2. 17.  3.
 -6.  3. -2.  1.  1.  2.  0. -5.  4. -1. -1.  3. -3.  1. -1.  0.  0.  1.
  1.  0. -3.  1.]"
27,Electric space heater,[]
28,Electric space heater,[  8. -10.  15. -12.   2.  29. -20.   0.   8.  -4.]
29,Electric space heater,[]
30,Electric space heater,"[  9. -18.   7.  24.   6. -31.  17.   1. -30.  23.  13.   2.   5. -31.
  24.   2.   0.   4.  -7. -21. -10.  18.  -3.  -3.  19.  -9.]"
31,Electric space heater,[]
32,Electric space heater,[ 26.   0. -31.  30. -33.  31.   0. -14. -13.  37.   0. -10.   0.  16.]
33,Electric space heater,"[-35.   6.  27. -16.  10.   5.   4. -28.  13.   7. -12.   2.   4.   7.
 -11.   4.   0.  -6.  11.  -5.   6. -32.  12.  -3.  18.   5. -35.  17.
   9.  -2.]"
34,Electric space heater,"[  1.  37. -22.   7. -37.  10.   6.  23. -18.  16.  -3. -21.  17. -23.
  19.  -2.   0.  -6.   4.   2.]"
35,Electric space heater,[  3. -14. -13.  38. -11. -16.   6.  12. -23.  17.  12.  -8. -20.  -2.]
36,Electric space heater,"[   3.    8.  -26.   24.  -12.    0.  172. -173.   10.    0.   -7.  -21.
   27.]"
37,Electric space heater,"[ -4. -17.  22. -16.  -1.   0. -10.  40. -16.  -2.   6.   6. -24.   6.
  16. -20.   0.  32.]"
38,Electric space heater,[-18.  24.   8. -22.  -3.  25. -12.  12. -22.  13. -29.  13.  -7.]
39,Electric space heater,"[-18.  -7.  -6.  20.  -6.   4.   8. -27.  -5.   6.   9.   7. -12.  23.
   7. -16. -22.   8.  18.   6.]"
40,Electric space heater,[ 18. -16.  10.   5.  15.  -9.  -6.  -2.  15.  -4.]
41,Electric space heater,[ 17.  12. -18.  31.  -3. -17.   1. -17.  12.  18. -14.  14.  -2.]
42,Electric space heater,[]
43,Electric space heater,[ 27.   7. -29.   9.   6. -24.   0.  31. -20.   2.  25.]
44,Electric space heater,"[ -8. -18. -10.   7.  32. -15. -15. -12.  15.  25. -20.   4. -10.  -1.
  29. -14.  -5. -10.  21. -17.  -4.  21.  18.  -8.   3. -38.  40. -39.
  23.  -7.  -4.  17.]"
45,Electric space heater,[  3.   4. -22.  37.  -1. -24.  11. -22.   4.  13.   7.]
46,Electric space heater,[-17.  14.   0.  20.   1. -17. -10.  12.  11.   5.  -3.]
47,Electric space heater,[ 16.   0. -18.  17.   0. -17.  22. -22.   3.  -2.  29.]
48,Electric space heater,[-12.  -8.   1.   1.  39. -26.  13.   5. -21.  22. -16.  15.]
49,Electric space heater,"[ 12. -23.  13.  13.  -9.  -5.   5.  -4.  17. -15.   2.  12. -15. -12.
  12. -12.  24. -28.  29. -11.  -9.  19. -22.  27. -31.  31.  -1.  -1.
 -12. -12.  27. -13.  13.   1. -30.   8.   8. -15.]"
50,Electric space heater,[ -3.  17.  13. -40.   1.  29.   2. -21.  10.   2. -12.  24.]
51,Electric space heater,[  5.   9.   2. 133.]
52,Electric space heater,[ 25.   2. -11. -18.   8.  20.   0. -32.  15.  -5.]
53,Electric space heater,[]
