Unnamed: 0,appliance,footprint
137453,Dish washer,"[ 0.  0.  1.  0. -1.  1.  0.  0. -1.  1.  0.  0.  1. -1.  0.  0.  0. -1.
  0.  1.  0. -1.  0.  1.  0. -1.  0.  0.  0.  0.  0.  0. -1.  1.  0.  0.
  0.  0.  0.  0.  1.  0. -1.  0.  1. -1.  1. -1.  0.  0.  0.  0. -1.  1.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. -1.  1.  0.  0.  0. -1.
  1.  0.  0.  0. -1.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  1.  0. -2.  0.  1.  0.  1. -1.  0.  1.  0. -1.  0.  0.  0.  0.  1.
  0.  0. -1.  1.  0.  0.  0.  0. -1.  0.  0.  0.  1.  0.  0.  0. -1.  1.
  0.  0. -1.  0.  0.  0.  0.  0. -1.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  1. -1.  0. -1.  1.  0. -1.  1.  0.  0.  0.  0.  1. -1.  0.  1.
 -1.  1. -1.  0.  0.  0.  0.  0.  0.  0.  0.  1. -1.  1.]"
137454,Dish washer,"[-1.  0.  1.  0.  0. -1.  1.  0. -1.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  1. -1.  0.  0.  1.  0. -1.  1. -1.  0.  0.  0.  1. -1. -1.  1.  0.  0.
  0.  0.  0.  1. -1. -1.  1.  0.  0.  0.  0.  0.  0.  1. -1.  0.  0.  0.
  0.  0.  1.  0.  0.  0. -1.  0.  1.  0.  1.  1. -1.  0.  0.  0.  0.  0.
  0. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1. -1.  0.  0.  0.  0.  1.
 -1.  0.  0.  0. -1.  0.  1.]"
137455,Dish washer,"[ 13.  14.   8. -33.  -4.  26. -12.   8. -23.  16.  -8.   0.  -7.  24.
   1.   5.  -2.   4. -25.   0.  30. -48.  20. -18.  -4.  32. -13.  -4.
  -1.  13.  -2.  31.  -9. -28.   1.  28. -38.  44. -21.  21.   0.  -7.
  -9.   6. -33.   9.  25.  -6. -17.  33.  -9.  -6.   6. -22.  -7.  23.
 -30.  38.   6. -12.   2.]"
137456,Dish washer,"[ 0.  1.  0.  0.  0.  0. -2.  2. -1. -1.  1.  0.  0.  0.  0.  1.  0. -1.
  0.  1.  0.  0. -1.  0.  1.  0. -1.  0.  1. -1.  0.  0.  0.  0.  0. -1.
  1.  1.  0.  0. -1.  0.  0.  0.  0.  0.  1.  0. -1.  1.  0.  0.  0.  0.
 -1.  1.  0.  0. -1.  1. -1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0. -1.  1. -1.  1.  0.  0.  1. -1. -1.  1.  1. -1.  0.  0.  1. -1.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0. -1.  1.  0.  0.
  0. -1.  0.  1.  0.  0. -1.  1.  0.  0. -1.  1.  0. -1.  0.  1.  0.  0.
  0.  0.  0. -1.  1. -1.  1.  0.  0.  0.  0.  0.]"
137457,Dish washer,[0. 0. 0. 1.]
137458,Dish washer,[]
137459,Dish washer,"[ 0.  0.  0.  0.  0.  0. -1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. -1.  0.  1.  0. -1.  0.  0.  0. -1.  1.  0.  0.  0.
  0.  0.  0.  0. -1.  1.  0.  0. 23.]"
137460,Dish washer,[ 1. -1.  0.  0.]
137461,Dish washer,"[ -3.  34. -12.   0.  -9. -13. -14.  39. -31.  26. -13.  -8.  -7.  44.
 -44.   3.  33. -30.  26.  12. -26.  36.   2. -48.  19.   8. -24.  34.
 -36.  21.  -9.   6.  11. -16.  28.  -9. -10.   5. -34.  40.  -1. -20.
  11. -26.  -3.  14.   0. -14.  40. -20.   2. -10.  22.  -6. -19.  11.
 -10.  -4.   5.   3.  -9.  10.  25.]"
137462,Dish washer,"[ 13. -36.  36.  -7.   3. -16. -13.  25. -18.  -4.  27.   4. -40.  27.
 -27.  -1.  -1.  -7.  34.   5. -22.   8.  22. -34.   0.  10.  15. -20.
  -7.  38. -38.  13.  25.   5.  -2.   0. -30.   3.  24. -23.   0.  15.
  -1. -10. -18.  32.  -9. -21.  -5.  42. -20.  18. -32.  21.   0. -17.
 -13.  36.   8.  -6. -26.  -5.  15. -16.   8.  14. -24.  39. -18.   6.
   7. -18.  17. -15. -34.  37. -26.  18. -21.  26. -26.   8.  19.  -8.
   3. -27.  34.   0.  -5.  -7.   4.  14. -11.  27. -15. -13.   1.  -2.
   8. -11.  -3.   2.  33. -19. -21.   4.  41.]"
137463,Dish washer,[1. 0. 0. 0.]
137464,Dish washer,"[ 11. -32.  -4.  40. -26. -18.  -2.  18. -19.   7.  20. -23.   3.  -2.
  26.  -3.   0. -15. -20.  18.  23. -36.   6.  29. -11.   7. -29.  37.
  -6. -15.  13.  -2.   0. -25.  -2.  -3.  40.  -6.   2.  -6. -21.  -6.
  15.  14. -32.  -2.  35.   4. -14. -17.  26.   5.  -5.  -4.  15. -27.
   4.   8.  -6. -15.  15.  -2.  12.  -2. -18.   5.  23.  -9.  -3.  14.
   0.  -1.  -6. -17.  16.  12. -29.   7.  14.   6. -16.  21.  -8.   5.
  16.   2. -30.  13.  12. -41.  -2.   0.   8. -12.  41.   2.   8.  -5.
  -3.]"
137465,Dish washer,"[-7.  1. -1.  0.  0.  0. -1.  0.  1. -1.  0.  0. -1.  1.  1. -1.  0.  0.
  0.  1. -1.  1. -1.  0.  1. -1.  0.  0.  0.  0.  0.  0. -1.  1. -1.  1.
 -1.  1. -1.  1.  0.  0.  0.  0. -1.  0.  0.  0.  0.  0. -1.  1.  0.  0.
  0. -1.  0. -1.  1. -1.  1. -1.  1.  0.  0.  0.  0.  0. -1.  0.  0.  0.
  0.  0.  0.  0.  1.  0. -1.  1. -1.  0.  0.  1.  1. -1.  1.  0. -1.  1.
  0. -1.  1.  0.  0. -1.  1.  0.  0.  0.  0.  0. -1.  0.  1. -1.  1.  0.
 -1.  0.  0.  0.  1. -1.  0. -1.  2.  0. -1.  0. -1.  1.  0.  0.  0.  1.
  0.  0. -1.  1.  0. -1.  1.  0.  1. -1.  0.  0.  0.  0.  1.  0.  0. -1.
 -1.  1. -1.  1.  1. -1. 17. 12.]"
137466,Dish washer,[ 1. -1. -1.  0.]
137467,Dish washer,"[ -10.   34.    1.  -16.  -27.    4.   33.  -23.   -1.   -5.    3.  -29.
   43.  -29.   16.  343. -341.    5.   -2.   -7.  -12.   -5.   18.  -18.
   12.    7.   22.  -19.   -2.    0.  -34.   12.   15.    4.   22.  -32.
   13.  -13.   -3.   17.  -10.   19.  -14.   -7.  -28.   27.   13.  -27.
   36.  -35.   34.  -27.   24.  -24.  -10.    8.   11.   -9.   36.  -12.
   20.  -15.]"
137468,Dish washer,"[-1.  1. -1.  0.  1. -1.  1. -1.  1.  0.  0.  0.  0.  0.  0.  0. -1.  1.
  0.  0.  0. -1.  0.  1.  0.  0. -1.  1.  0.  0.  0.  1. -1.  0.  0.  0.
 -1.  1.  0.  0.  0.  0. -1.  1.  0. -1.  1.  0. -1.  0.  0.  0.  0.  1.
 -1.  0.  0.  0.  1.  0.  0. -1.  0.  1.  0.  0. -1.  0.  1.  0.  0.  0.
  0.  0.  0.  0. -1.  0.  1.  0. -1.  1.  0.  0.  0. -1.  1. -1.  0.  1.
 -2.  1.  0.  0.  0.  0.  0.  0.  0. -1.  0.  1.  0.  1.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. -1.  1.  0.  0.  0.  0.  0.  0.
 -1.  2. -1.  0.  0.  0.  1. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  1.  0.  0. -1.  1. -1.  1.  0. -1.  0.  0.  0.  1.  0. -1.  0.  1.
  0. -1.  0.  0.  0.  0.  0.  0.  1. -1.  1. -1.  0.  0.  0.  0.  0.  0.
  0.  0.  1. -1.  0.  0.  0.  0. 18.]"
137469,Dish washer,"[ 0.  0.  0.  0.  0.  0.  0.  0. -1.  1.  0.  0. -1.  1.  0.  0. -2.  1.
  0.  1. -1.  0.  0.  0.  0.  0.  0.  1. -1.  0. -1.  1. -1.  1. -1.  1.
  0. -1.  1.  0. -1.  1. -1.  1.  0.  1. -1.  0. -1.  1.  0.  0.  0.  0.
  0.  0.  0. -1.  1.  0.  0.  0.  0. -1.  1.  0.  0.  0.  0. -1.  1.  1.
  0. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1. -1.  0.  1.
 -1.  0.  1. -1.  0.  1.  0. -1. 20.]"
137470,Dish washer,[0.]
137471,Dish washer,"[ 26. -35. -12.  28.  10. -41.   9.   7. -12.  -2.   7.   7.  29. -11.
 -24.  -1.  19. -22.  22.  -9.   4.  18. -39.  26.  -7. -16.  14.  17.
 -24.  -6.  -4.   2.  26. -14. -18.   7. -14.   5.  -6.  39.   2.  -1.
  -1. -31.  10.  -8.  -9.  26.  30.  -9.   9. -24.  -5.  20.  17.  -3.
   7.  -7. -20.  -7.  25. -21.   7.  41. -12.  -5. -33.  -9.  34. -13.
 -17.   0.  15. -17.  36.  -1. -17.  29. -24.   1.   8.  15. -12. -10.
 -16.  -5.  41. -20.  12.   0. -25.  27.  14. -11. -18.  18. -24.  -5.
  10.  22.  -7.  12. -32.  -8.   6.  -8.  34. -40.  15. -27.  29.   2.
   8.]"
137472,Dish washer,"[ 0.  0. -1.  0.  1. -2.  2.  0. -1.  0.  1.  0.  0.  0.  0.  1. -1.  0.
 -1.  1.  0.]"
137473,Dish washer,[]
137474,Dish washer,"[ 0. -1.  1. -1.  1.  1. -1.  1.  0.  0. -1.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  1. -1.  0.  1. -1.  0.  1.  0.  0.  0.  0.  0. -1.  1. -1.  1.
  0.  0.  0.  0.  0.  0.  0.  0. -1.  1.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  1. -1.  1.  0. -1.  1. -1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  1.  0.  0. -1.  1. -1.  0.  0. -1.  0.  1.  0.  0. -1.  0.  0.
  1. -1.  1.  0.  0.  0.  0. -1.  0.  0.  0.  1. -1.  0.  0.  1. -1.  0.
 -1.  1.  0.  0.  1.]"
137475,Dish washer,[ 1.  1. -1.  1.  0.  0.  0. -1.  1.  0.  1. -1.  0.  0.  0.  2.  6.]
137476,Dish washer,[1. 0.]
137477,Dish washer,"[ -21.   22.  -25.   -7.   13.    2.  -22.   38.   -8.    6.   -7.   -2.
    3.  -21.   -4.   -1.   -2.   26.    3.  -37.    8.   15.   19.  -27.
   -5.   23.   -9.  -17.  422. -418.   -2.   -8.    0.    4.   27.   10.
  -35.   -7.   33.  -28.   26.    8.    3.  -12.    0.  -25.   -6.   13.
   -5.   18.  -31.   36.  -25.    3.   -3.   21.  -18.    1.    5.   17.
  -21.   17.  -14.   21.    0.   -9.  -17.    3.   33.  -27.  -10.   -3.
   39.   -5.  -10.  384. -373.   -6.  -19.   17.    2.  -26.   -1.   27.
  -33.   -3.   17.   20.  -23.    8.  -19.   14.   -1.    1.   -5.   13.
   -5.  443. -415.  -23.  -11.    4.    3.   23.  -17.   46.  -21.  -13.
   -9.   11.]"
137478,Dish washer,"[ -15.   24.  -34.    5.   -4.    0.   20.   -6.  -14.   25.  -10.    6.
    8.  -31.   13.    0.   -6.    2.   -4.   23.   17.  -12.  -23.   27.
    7.  -34.  -14.    7.   25.   -3.    5.  -23.   14.    2.  -23.   13.
   19.  -17.    5.   -3.    5.  -25.   29.    7.   -3.   -6.  -30.   17.
   18.  -14.  -17.   25.  -25.   35.   -2.  -26.   16.   25.  346. -358.
   -3.   -3.  -23.   34.    0.    0.    0.    0.    1.  -11.  -31.   -9.
   32.  -16.    8.  -10.   22.  -14.  -24.   10.   20.  -18.   29.  -20.
   -7.   26.  360. -360.   -6.    2.]"
137479,Dish washer,"[ 10.  18.   0. -33.  39.   0. -38.  12.  -6.   7.  20. -18.   2. -12.
   5.  -3.  19. -27.  34. -13.   6.  15. -35.  24.  14.  -7. -34.  40.
 -38.  37. -16.  -3.   3.  14.   8.  13. -11.   7.  -1.  -4.  15. -18.
  -6.  14.   7. -38.  28.  11. -42.  44.  -8. -24.  13.   7.  -9. -12.
  28.   0.   0.   4. -27.  22. -29.   5.  -5.   0.]"
137480,Dish washer,[ 0. -1.  1.]
137481,Dish washer,[]
137482,Dish washer,[-1.  0.  0. -3.]
137483,Dish washer,"[-1.  0.  0.  1.  0.  0.  0. -2.  1.  0.  0. -1.  1.  0.  0.  0.  0. -1.
  1. -1.  0. -1.  2.  0. -1.  0. -1.  1.  0.  1.  0.  0. -1. -1.  2.  0.
  0.  0. -1.  0.  1.  0. -1.  1. -1.  1.  0.  1. -1.  1. -1.  0.  0.  0.
  0.  0.  0. -1.  1.  0.  0.  0.  1. -1.  0.  0.  0.  1. -1.  0.  0.  0.
  1.  0.  0. -1.  0.  0.  1.  0.  0. -1.  0.  0.  0.  0.  1. -1.  1. -2.
  1.  0.  0.  0.  0. -1.  1.  1.  0.  6.]"
137484,Dish washer,[ 1. -1.  1.]
137485,Dish washer,[0. 1. 0.]
137486,Dish washer,"[   5.   37.  -23.   -1.   31.    8.   -5.  -19.   21.    2.   -4.  -32.
    3.    4.  -10.   16.    4.    2.   -2.    1.    5.    1.   -7.  -20.
   20.  -30.    0.   32.    1.   -3.   -3.    6.   -9.   15.  -24.    7.
  -28.  342. -297.    7.  -45.   37.  -26.    0.   -5.   32.  -50.    9.
   -6.   15.   18.   -1.   -9.  -14.   13.   27.  -11.    3.  -11.   -9.
   41.   -1.  -27.   22.]"
137487,Dish washer,[]
137488,Dish washer,"[-1.  0.  0. -1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. -1.  1. -1.
  1.  0.  0.  0. -1.  1. -1.  0.  0.  0.  0.  0.  1.  0.  0.  1. -1.  0.
  0.  0. -1.  0.  0. -1.  1.  0.  0.  1.  0. -1.  1.  0.  1. -2.  0.  0.
  1. -1.  1.  0. -1.  1. -1.  1.  0.  0. -1.  1.  0.  5. -3.  5.]"
137489,Dish washer,"[   2.   20.    0.   -8.    8.   -1.  -32.   10.    2.    6.   31.    5.
    6.  -26.   23.   -3.  -20.   12.    0.  -12.   33.   -4.  -28.    0.
   34.    3.   -8.   -3.   -5.  -17.    7.    2.  -11.    0.    5.  -28.
   34.   -2.   -1.  -44.   36.  -33.    5.   24.  -18.  -11.  341. -317.
  -14.   31.  -30.   36.  -16.  -18.   -8.   29.    1.   -4.   -2.  -19.
    4.    0.   20.  -12.  -20.   24.  -33.   12.  328. -307.  -20.    0.
  409. -394.    0.   -4.    8.  -24.   28.    4.  -36.   -4.   31.   -9.
    7.  -20.    2.  -12.    9.   16.  -20.   35.  -43.   34.    5.  -39.
   33.   -9.   10.  -22.  -12.   28.   12.  -38.   43.   -2.   15.  -37.
   34.  -15.   24.    0.  -34.   18.  -33.   28.    2.    4.   -7.    8.
  -10.   13.  -28.   33.   -6.   35.]"
137490,Dish washer,[5. 0.]
137491,Dish washer,"[ 0.  0.  0.  0.  0.  0. -1.  0.  1. -1.  1.  0.  0.  0. -1.  1. -1.  0.
  0.  0.  1.  0.  0.  0.  0.  0.  0.  0. -1.  1.  0.  0. -1.  1.  0.  0.
  0.  0.  0. -1.  1. -1.  0.  1. -1.  0.  1.  1.  0.  0.  0.  0.  0.  0.
  0. -1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0. -1.  0.
  0.  0.  0.  0.  0.  0. -1.  0.  1.  0.  0.  0.  1. -1.  0. -1.  0.  0.
  0.  0.  0.  0.  0.  0.  0. -1. 20.]"
137492,Dish washer,[]
137493,Dish washer,[ 4.  1. -1. -1.]
137494,Dish washer,"[ -16.   41.   -7.  -15.  -44.  372. -363.   48.   -8.   -7.  -11.  -16.
   22.   15.   25.  -23.   20.  -26.  -12.   17.   16.   -1.  -14.   28.
  -34.  -10.    7.   52.  -34.  -19.   19.  -32.   48.  -10.   21.    8.
  -38.    5.  -28.   55.  -18.    0.  -20.   16.  -35.   -3.   43.   -5.
  -10.  -19.   -5.  -28.   27.  330. -296.  -13.  -46.   23.    8.   -5.
  -27.   28.  -27.   21.  -25.    9.   25.    8.   31.  -42.  -14.  -21.
   26.   23.   12.  -15.  -10.  -14.   37.  -20.   26.  -42.   -1.  -15.
   29.    5.   13.   11.  -40.   16.    9.  -40.   22.   30.    5.    3.
    1.  -44.    0.   11.  -10.   14.  -20.    2.   15.  -20.   58.  -50.
   14.  -22.   46.  -17.   31.  -26.   31.  -26.  -22.  -18.   -2.    8.
   35.  -14.   -7.    9.   -3.    6.]"
137495,Dish washer,"[ 1. -1.  0.  0.  1.  0.  0.  0. -1.  0.  0.  1. -1.  1. -1.  0. -1.  1.
 -1. -1.  1.  1. -1.  0.  0.  0.  0.  1.  0.  0. -1.  0.  0.  1.  1. -2.
  2. -1.  1.  0.  0.  0.  0.  0.  0.  0.  0. -1.  0.  0.  1.  0. -1.  2.
  0. -1.  0.  0.  0. -1.  1.  0.  0.  0.  1. -2.  1.  0. -1.  1. -1.  1.
  0. -1.  1. -1.  0.  1. -1.  2.  0. -1.  0.  0.  0. -1.  1.  0.  0.  0.
  0.  0.  0.  0.  0.  0. -1.  1.  1.  0. -1.  1. -1.  0.  1. -1.  1.  1.
  0. -1.  0. -1.  1.  0.  0. -1.  0.  0.  1.  0. -1.  0. -1.  0.  0.  1.
  0.  1. -1.  0.  0.  0. -2.  1.  1. -1. -1.  1.  0.  1.  0. -1.  0.  0.
  0.  0.  2. -1.  0.  1. -1.  0.]"
137496,Dish washer,"[   2.  -17.   16.   20.  -23.    5.   14.  -32.    5.   22.   -8.  -11.
   14.   -7.   13.   -4.   20.  -25.   20.   30.  -60.   15.    8.   10.
  -21.  -28.   37.  -37.    0.   34.   12.  -35.   23.   -5.    0.  369.
 -386.  -12.   38.    0.   -6.   -8.  -15.   16.   21.  -43.   25.   -1.
   36.  -35.  -16.    0.   21.   34.  -54.   15.  360. -386.   23.    0.
    5.  -15.    8.   -4.   -7.   30.  -28.   15.  -34.    2.   24.   26.
   -8.  -25.    9.   -6.   13.    7.  -11.   -8.    3.    4.   14.    7.
  -38.   23.   16.   12.  -39.   34.   16.  -13.    7.   -9.   42.   -4.
  -50.    0.   17.   25.    9.   -2.  -12.  -16.   20.  -31.]"
137497,Dish washer,[2.]
137498,Dish washer,"[-46.  -2.  28.   2. -32.   1.  -6.   7.   4.  14.   6.  10.  -3. -18.
 -11.  -2.  33.  -4. -28.   1.  35. -31.  32.   0.   1. -39.  -1.   8.
  23.   9. -25.  14.  -8. -14.  12. -13.  37. -32.  -1.   7.  23. -21.
  17.  16.  -2.   1.  -3. -38.  29.   3. -33.  39.   2. -26. -11.   4.
  -8.   3.  34. -24.  33. -35.  32. -19.   2.  15. -28.  26. -28.  12.
  26. -17. -16.   3.  14. -19.  -4.  28. -15. -17.  31.  -2.   6.  -5.
  10.  -4.  -5. -13.  12.  21. -13.  -3.  -1.   1. -26.  -6.   6.  23.
  15. -23.  25.  -1. -30.  33.]"
137499,Dish washer,[]
137500,Dish washer,"[-7.  0.  1. -1.  0.  0. -1.  0.  0.  1. -1.  1.  0.  1. -2.  1.  0.  0.
 -1.  1. -1.  0.  1. -1.  0.  0.  0.  0. -1.  1. -1.  1.  0.  1. -1.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0. -1.  1.  0.  0.  0.  0.  0.  0.  0. -1.  1.
  0.  0.  1.  0. -1.  0.  1. -1.  0.  0.  0.  0.  1. -1.  0.  0.  0.  1.
 -1.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1. -1.  0.
 -1.  0.  0.  1. -1.  0.  0.  1. -1.  1.  0.  0. -1.  1. -1.  0.  1.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1. -1.  0.  0.  1.  0. -1.  1.
  0. -1.  0.  1.  0. -1. 11.  6.]"
137501,Dish washer,"[ -24.   31.   -6.  -29.   -1.   36.   -7.   -9.   27.  -16.    5.  -16.
   -1.   21.   10.  -26.    4.   -9.   10.   21.  -10.   29.  -41.   35.
  -18.   30.  -33.   18.   12.  -30.   -6.   -7.   -1.   39.  -27.    0.
   19.    5.   11.  336. -373.   33.  -31.  364. -341.   -4.  -20.   25.
  -20.   25.  -11.    6.   -7.   16.  -34.   23.   -9.   24.  -13.  -22.
   40.  -21.  -13.   36.   -6.    2.  -45.   -1.   39.  -21.   -8.   23.
   -6.   20.    4.    5.    2.  -43.   18.  -16.    4.    4.    0.   31.
  -15.  -30.    0.   28.  -19.    3.   -5.    3.   -8.   26.  -14.   29.
   -3.   14.   -3.  -27.   -8.   12.  -10.   -5.   -5.   13.   12.  -13.
   24.  -22.]"
137502,Dish washer,[]
137503,Dish washer,[1. 1.]
137504,Dish washer,[]
137505,Dish washer,[]
